gm_number,weekday,date,tm,opp,w_l,runs_for,runs_against,inn,w_l_2,rank,games_back,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,home_away,extra_innings,games_back2,run_diff,team,double_header_gm,double_header,year
1,Monday,2010-04-05,SEA,OAK,W,5,3,,1-0,1,Tied,League,Ziegler,Aardsma,2:47,N,30686,1.17,+,,Away,0,0,2,SEA,NA,0,2010
2,Tuesday,2010-04-06,SEA,OAK,L-wo,1,2,10,1-1,2,0.5,Ramirez,Texeira,,2:47,N,10090,1.28,-,,Away,1,-0.5,-1,SEA,NA,0,2010
3,Wednesday,2010-04-07,SEA,OAK,L-wo,5,6,,1-2,3,1.0,Blevins,Lowe,,3:11,N,18194,1.22,--,,Away,0,-1,-1,SEA,NA,0,2010
4,Thursday,2010-04-08,SEA,OAK,L,2,6,,1-3,3,2.0,Anderson,Fister,,2:50,D,12464,1.2,---,,Away,0,-2,-4,SEA,NA,0,2010
5,Friday,2010-04-09,SEA,TEX,L,2,6,,1-4,3,3.0,Lewis,Vargas,,2:22,N,25271,1.12,----,,Away,0,-3,-4,SEA,NA,0,2010
6,Saturday,2010-04-10,SEA,TEX,W,4,3,,2-4,3,2.0,Lowe,Francisco,Aardsma,2:53,D,26861,1.1,+,,Away,0,-2,1,SEA,NA,0,2010
7,Sunday,2010-04-11,SEA,TEX,L,2,9,,2-5,3,3.0,Feldman,Snell,,3:03,D,26846,1.15,-,,Away,0,-3,-7,SEA,NA,0,2010
8,Monday,2010-04-12,SEA,OAK,L,0,4,,2-6,4,4.0,Duchscherer,Rowland-Smith,,2:20,D,45876,1.16,--,,Home,0,-4,-4,SEA,NA,0,2010
9,Tuesday,2010-04-13,SEA,OAK,W,3,0,,3-6,3,3.0,Fister,Ziegler,Aardsma,2:21,N,18043,1.1,+,,Home,0,-3,3,SEA,NA,0,2010
10,Wednesday,2010-04-14,SEA,OAK,W,4,2,,4-6,3,2.0,Vargas,Gaudin,Aardsma,2:45,N,15978,1.14,++,,Home,0,-2,2,SEA,NA,0,2010
11,Friday,2010-04-16,SEA,DET,W,11,3,,5-6,3,2.5,Hernandez,Bonderman,,2:57,N,39999,0.99,+++,,Home,0,-2.5,8,SEA,NA,0,2010
12,Saturday,2010-04-17,SEA,DET,W,4,2,,6-6,2,2.5,League,Verlander,Aardsma,2:35,N,31647,1.06,++++,,Home,0,-2.5,2,SEA,NA,0,2010
13,Sunday,2010-04-18,SEA,DET,L,2,4,,6-7,2,2.5,Scherzer,Snell,Valverde,3:01,D,30419,1.05,-,,Home,0,-2.5,-2,SEA,NA,0,2010
14,Monday,2010-04-19,SEA,BAL,W,8,2,,7-7,2,2.0,Fister,Bergesen,,2:24,N,14528,0.95,+,,Home,0,-2,6,SEA,NA,0,2010
15,Tuesday,2010-04-20,SEA,BAL,W,3,1,,8-7,2,1.0,Vargas,Hernandez,Aardsma,2:21,N,15931,1.02,++,,Home,0,-1,2,SEA,NA,0,2010
16,Wednesday,2010-04-21,SEA,BAL,W,4,1,,9-7,1,Tied,Hernandez,Millwood,,2:08,N,18401,1.07,+++,,Home,0,0,3,SEA,NA,0,2010
17,Friday,2010-04-23,SEA,CHW,L-wo,6,7,,9-8,2,1.5,Thornton,Lowe,,2:57,N,24653,1.09,-,,Away,0,-1.5,-1,SEA,NA,0,2010
18,Saturday,2010-04-24,SEA,CHW,L-wo,4,5,,9-9,2,1.5,Jenks,Aardsma,,2:34,D,25253,1.13,--,,Away,0,-1.5,-1,SEA,NA,0,2010
19,Sunday,2010-04-25,SEA,CHW,L,2,3,,9-10,3,2.5,Danks,League,Jenks,2:14,D,28274,1.05,---,,Away,0,-2.5,-1,SEA,NA,0,2010
20,Monday,2010-04-26,SEA,KCR,L,1,3,,9-11,3,3.0,Davies,Hernandez,Chen,2:46,N,11391,1.02,----,,Away,0,-3,-2,SEA,NA,0,2010
21,Tuesday,2010-04-27,SEA,KCR,W,3,2,,10-11,3,2.0,Kelley,Rupe,Aardsma,3:05,N,14969,0.97,+,,Away,0,-2,1,SEA,NA,0,2010
22,Wednesday,2010-04-28,SEA,KCR,W,6,5,,11-11,3,1.0,League,Thompson,Aardsma,2:46,D,13206,1.08,++,,Away,0,-1,1,SEA,NA,0,2010
23,Friday,2010-04-30,SEA,TEX,L,0,2,12,11-12,3,0.5,Francisco,League,Feliz,3:14,N,34055,1.24,-,,Home,1,-0.5,-2,SEA,NA,0,2010
24,Saturday,2010-05-01,SEA,TEX,L,3,6,,11-13,4,1.5,Harrison,Hernandez,Francisco,3:14,D,30225,1.24,--,,Home,0,-1.5,-3,SEA,NA,0,2010
25,Sunday,2010-05-02,SEA,TEX,L,1,3,11,11-14,4,2.0,Nippert,Lowe,Feliz,3:16,D,27185,1.21,---,,Home,1,-2,-2,SEA,NA,0,2010
26,Tuesday,2010-05-04,SEA,TBR,L,2,5,,11-15,3,2.5,Shields,Vargas,Soriano,2:52,N,15589,0.98,----,,Home,0,-2.5,-3,SEA,NA,0,2010
27,Wednesday,2010-05-05,SEA,TBR,L,3,8,,11-16,3,3.0,Garza,Lee,,2:51,N,14627,0.89,-----,,Home,0,-3,-5,SEA,NA,0,2010
28,Thursday,2010-05-06,SEA,TBR,L,0,8,,11-17,3,3.5,Niemann,Rowland-Smith,,2:47,N,17617,0.82,------,,Home,0,-3.5,-8,SEA,NA,0,2010
29,Friday,2010-05-07,SEA,LAA,L,0,8,,11-18,4,4.5,Weaver,Hernandez,,2:49,N,37602,0.83,-------,,Home,0,-4.5,-8,SEA,NA,0,2010
