rowid,first_name,last_name,player_img_small,plyr_id,player_img_large,birthplace,born,wt,ht,sh,pos,number,player,age,myd_date,team_role,alpha_3_code,country,full_birthplace,pos_name
1,ryan,donato,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477987.jpg,8477987,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477987.jpg,"Boston, MA, USA",1996-04-09,192,6'0,Left,C,9,Ryan Donato,26,"April 09, 1996",None,USA,United States,"Boston, MA, United States",Center
2,joonas,donskoi,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475820.jpg,8475820,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475820.jpg,"Raahe, FIN",1992-04-13,190,6'0,Right,RW,72,Joonas Donskoi,30,"April 13, 1992",None,FIN,Finland,"Raahe, Finland",Right Wing
3,jordan,eberle,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474586.jpg,8474586,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8474586.jpg,"Regina, SK, CAN",1990-05-15,187,5'1,Right,RW,7,Jordan Eberle,32,"May 15, 1990",Alternate Captain,CAN,Canada,"Regina, SK, Canada",Right Wing
4,morgan,geekie,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479987.jpg,8479987,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8479987.jpg,"Strathclair, MB, CAN",1998-07-20,192,6'3,Right,C,67,Morgan Geekie,24,"July 20, 1998",None,CAN,Canada,"Strathclair, MB, Canada",Center
5,yanni,gourde,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476826.jpg,8476826,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8476826.jpg,"Saint-Narcisse, QC, CAN",1991-12-15,173,5'9,Left,C,37,Yanni Gourde,31,"December 15, 1991",Alternate Captain,CAN,Canada,"Saint-Narcisse, QC, Canada",Center
6,karson,kuhlman,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480901.jpg,8480901,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8480901.jpg,"Esko, MN, USA",1995-09-26,190,5'1,Right,C,25,Karson Kuhlman,27,"September 26, 1995",None,USA,United States,"Esko, MN, United States",Center
7,kole,lind,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479986.jpg,8479986,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8479986.jpg,"Swift Current, SK, CAN",1998-10-16,178,6'1,Right,RW,73,Kole Lind,24,"October 16, 1998",None,CAN,Canada,"Swift Current, SK, Canada",Right Wing
8,jared,mccann,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477955.jpg,8477955,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477955.jpg,"Stratford, ON, CAN",1996-05-31,185,6'1,Left,LW,16,Jared McCann,26,"May 31, 1996",None,CAN,Canada,"Stratford, ON, Canada",Left Wing
9,victor,rask,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476437.jpg,8476437,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8476437.jpg,"Leksand, SWE",1993-03-01,199,6'2,Left,C,49,Victor Rask,29,"March 01, 1993",None,SWE,Sweden,"Leksand, Sweden",Center
10,jaden,schwartz,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475768.jpg,8475768,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475768.jpg,"Wilcox, SK, CAN",1992-06-25,190,5'1,Left,C,17,Jaden Schwartz,30,"June 25, 1992",Alternate Captain,CAN,Canada,"Wilcox, SK, Canada",Center
