gm_number,season,team,date,month,day,weekday,start_time,day_night,weekend,attendance,away_home
1,2000,SEA,2000-04-04,4,4,Tuesday,2:40,N,0,45552,home
2,2000,SEA,2000-04-05,4,5,Wednesday,3:11,N,0,29242,home
3,2000,SEA,2000-04-06,4,6,Thursday,3:06,N,0,25121,home
4,2000,SEA,2000-04-07,4,7,Friday,3:09,N,0,40827,home
5,2000,SEA,2000-04-08,4,8,Saturday,3:35,D,0,45261,home
6,2000,SEA,2000-04-09,4,9,Sunday,2:40,D,0,45488,home
7,2000,SEA,2000-04-11,4,11,Tuesday,3:12,D,0,39168,away
8,2000,SEA,2000-04-12,4,12,Wednesday,2:24,N,0,21405,away
9,2000,SEA,2000-04-13,4,13,Thursday,2:58,N,0,20781,away
10,2000,SEA,2000-04-14,4,14,Friday,3:06,N,0,17306,away
11,2000,SEA,2000-04-15,4,15,Saturday,3:22,D,0,21754,away
12,2000,SEA,2000-04-16,4,16,Sunday,3:24,D,0,15325,away
13,2000,SEA,2000-04-18,4,18,Tuesday,3:32,N,0,9898,away
14,2000,SEA,2000-04-19,4,19,Wednesday,2:57,D,0,8425,away
15,2000,SEA,2000-04-21,4,21,Friday,3:22,N,0,37034,home
16,2000,SEA,2000-04-22,4,22,Saturday,2:33,D,0,38200,home
17,2000,SEA,2000-04-23,4,23,Sunday,3:13,D,0,29701,home
18,2000,SEA,2000-04-24,4,24,Monday,2:42,N,0,30354,home
19,2000,SEA,2000-04-25,4,25,Tuesday,3:16,N,0,27579,home
20,2000,SEA,2000-04-26,4,26,Wednesday,3:30,D,0,37086,home
21,2000,SEA,2000-04-28,4,28,Friday,3:24,N,0,36317,away
22,2000,SEA,2000-04-29,4,29,Saturday,2:55,N,0,26879,away
23,2000,SEA,2000-04-30,4,30,Sunday,2:30,D,0,23568,away
24,2000,SEA,2000-05-02,5,2,Tuesday,3:25,N,0,6780,away
25,2000,SEA,2000-05-03,5,3,Wednesday,3:01,N,0,6596,away
26,2000,SEA,2000-05-05,5,5,Friday,2:59,N,0,38307,home
27,2000,SEA,2000-05-06,5,6,Saturday,2:50,D,0,43427,home
28,2000,SEA,2000-05-07,5,7,Sunday,3:11,D,0,42940,home
29,2000,SEA,2000-05-08,5,8,Monday,2:37,N,0,29930,away
30,2000,SEA,2000-05-09,5,9,Tuesday,3:04,N,0,28850,away
31,2000,SEA,2000-05-10,5,10,Wednesday,3:05,D,0,27337,away
32,2000,SEA,2000-05-11,5,11,Thursday,3:07,N,0,8364,away
33,2000,SEA,2000-05-12,5,12,Friday,3:31,N,0,14791,away
34,2000,SEA,2000-05-13,5,13,Saturday,3:15,D,0,25565,away
35,2000,SEA,2000-05-14,5,14,Sunday,2:58,D,0,15163,away
36,2000,SEA,2000-05-15,5,15,Monday,2:46,N,0,30289,home
37,2000,SEA,2000-05-16,5,16,Tuesday,3:04,N,0,25672,home
38,2000,SEA,2000-05-17,5,17,Wednesday,2:13,N,0,25583,home
39,2000,SEA,2000-05-19,5,19,Friday,3:26,N,0,34067,home
40,2000,SEA,2000-05-20,5,20,Saturday,3:26,D,0,40665,home
41,2000,SEA,2000-05-21,5,21,Sunday,3:09,D,0,45264,home
42,2000,SEA,2000-05-23,5,23,Tuesday,2:38,N,0,37747,away
43,2000,SEA,2000-05-24,5,24,Wednesday,2:48,N,0,37262,away
44,2000,SEA,2000-05-25,5,25,Thursday,3:02,N,0,34764,away
45,2000,SEA,2000-05-26,5,26,Friday,3:20,N,0,14627,away
46,2000,SEA,2000-05-27,5,27,Saturday,2:53,D,0,24373,away
47,2000,SEA,2000-05-28,5,28,Sunday,3:16,D,0,16194,away
48,2000,SEA,2000-05-29,5,29,Monday,3:05,N,0,34429,home
49,2000,SEA,2000-05-30,5,30,Tuesday,2:26,N,0,25788,home
50,2000,SEA,2000-05-31,5,31,Wednesday,3:11,D,0,35823,home
51,2000,SEA,2000-06-02,6,2,Friday,2:54,N,0,33995,home
52,2000,SEA,2000-06-03,6,3,Saturday,2:57,N,0,44183,home
53,2000,SEA,2000-06-04,6,4,Sunday,3:11,D,0,42018,home
54,2000,SEA,2000-06-05,6,5,Monday,2:57,N,0,25582,home
