gm_number,opp,win_lose,r,ra,inn,walkoff,forfeit,extra_innings,won_prev_game,team,season,series,series_gm_number,series_wins,series_tot_gms,series_per,series_won
1,ANA,W,3,2,0,0,0,0,0,NYY,2000,1,1,1,10,1,1
2,ANA,W,5,3,0,0,0,0,1,NYY,2000,1,2,2,10,1,1
3,ANA,L,6,12,0,0,0,0,1,NYY,2000,1,3,2,10,0.6666666666666666,1
4,SEA,L,5,7,0,0,0,0,0,NYY,2000,15,1,0,10,0,0
5,SEA,W,3,2,0,0,0,0,0,NYY,2000,15,2,1,10,0.5,0
6,SEA,L,3,9,0,0,0,0,1,NYY,2000,15,3,1,10,0.3333333333333333,0
7,TEX,W,8,6,0,0,0,0,0,NYY,2000,17,1,1,12,1,1
8,TEX,W,5,1,0,0,0,0,1,NYY,2000,17,2,2,12,1,1
9,KCR,W,7,5,0,0,0,0,1,NYY,2000,9,1,1,10,1,1
10,KCR,W,7,1,0,0,0,0,1,NYY,2000,9,2,2,10,1,1
11,KCR,W,8,4,0,0,0,0,1,NYY,2000,9,3,3,10,1,1
12,TEX,W,5,4,11,0,0,1,1,NYY,2000,17,3,3,12,1,1
13,TEX,W,6,3,0,0,0,0,1,NYY,2000,17,4,4,12,1,1
14,TEX,W,5,4,10,0,0,1,1,NYY,2000,17,5,5,12,1,1
15,TOR,L,3,8,0,0,0,0,1,NYY,2000,18,1,0,12,0,1
16,TOR,L,2,8,0,0,0,0,0,NYY,2000,18,2,0,12,0,1
17,TOR,W,10,7,0,0,0,0,0,NYY,2000,18,3,1,12,0.3333333333333333,1
18,MIN,L,3,7,0,0,0,0,1,NYY,2000,10,1,0,10,0,1
19,MIN,L,1,6,0,0,0,0,0,NYY,2000,10,2,0,10,0,1
20,MIN,W,2,0,0,0,0,0,0,NYY,2000,10,3,1,10,0.3333333333333333,1
21,TOR,W,6,0,0,0,0,0,1,NYY,2000,18,4,2,12,0.5,1
22,TOR,L,2,6,0,0,0,0,1,NYY,2000,18,5,2,12,0.4,1
23,TOR,W,7,1,0,0,0,0,0,NYY,2000,18,6,3,12,0.5,1
24,CLE,W,2,1,0,0,0,0,1,NYY,2000,6,1,1,10,1,1
25,CLE,W,4,2,0,0,0,0,1,NYY,2000,6,2,2,10,1,1
26,CLE,W,6,5,0,0,0,0,1,NYY,2000,6,3,3,10,1,1
27,BAL,W,12,10,0,1,0,0,1,NYY,2000,3,1,1,12,1,1
