season,gm_number,opp,win,loss,save,away_home
2000,1,BOS,Martinez,Moyer,Lowe,home
2000,2,BOS,Garcia,Martinez,,home
2000,3,BOS,Mesa,Florie,Sasaki,home
2000,4,NYY,Halama,Pettitte,Sasaki,home
2000,5,NYY,Nelson,Mesa,Rivera,home
2000,6,NYY,Moyer,Clemens,,home
2000,7,DET,Moehler,Garcia,Jones,away
2000,8,DET,Sele,Mlicki,,away
2000,9,DET,Brocail,Rhodes,Jones,away
2000,10,TOR,Moyer,Wells,,away
2000,11,TOR,Rodriguez,Halladay,Paniagua,away
2000,12,TOR,Garcia,Carpenter,,away
2000,13,CHW,Sturtze,Sele,,away
2000,14,CHW,Lowe,Meche,Howry,away
2000,15,KCR,Rodriguez,Durbin,,home
2000,16,KCR,Tomko,Witasick,Sasaki,home
2000,17,KCR,Rhodes,Bottalico,,home
2000,18,CLE,Finley,Meche,,home
2000,19,CLE,Halama,Nagy,,home
2000,20,CLE,Shuey,Rhodes,,home
2000,21,KCR,Batista,Tomko,Bottalico,away
2000,22,KCR,Sele,Suppan,,away
2000,23,KCR,Rosado,Meche,Bottalico,away
2000,24,MIN,Halama,Mays,Sasaki,away
2000,25,MIN,Guardado,Mesa,,away
2000,26,ANA,Bottenfield,Sele,Percival,home
2000,27,ANA,Sasaki,Holtz,,home
2000,28,ANA,Halama,Schoeneweis,,home
2000,29,TEX,Helling,Tomko,,away
2000,30,TEX,Abbott,Loaiza,,away
2000,31,TEX,Wetteland,Sasaki,,away
2000,32,OAK,Hudson,Meche,Isringhausen,away
2000,33,OAK,Mathews,Sasaki,,away
2000,34,OAK,Tomko,Appier,Mesa,away
2000,35,OAK,Heredia,Abbott,,away
2000,36,MIN,Sele,Milton,,home
2000,37,MIN,Meche,Bergman,,home
2000,38,MIN,Halama,Mays,,home
2000,39,TBD,Mesa,Taylor,Sasaki,home
2000,40,TBD,Yan,Ramsay,Hernandez,home
2000,41,TBD,Sele,Trachsel,,home
2000,42,BAL,Timlin,Mesa,,away
2000,43,BAL,Groom,Sasaki,,away
2000,44,BAL,Mussina,Rodriguez,,away
2000,45,TBD,Sele,Trachsel,,away
2000,46,TBD,Tomko,Rekar,Sasaki,away
2000,47,TBD,Mecir,Mesa,,away
2000,48,CHW,Halama,Sirotka,Sasaki,home
2000,49,CHW,Baldwin,Abbott,Foulke,home
2000,50,CHW,Howry,Sasaki,Foulke,home
2000,51,SDP,Moyer,Clement,Sasaki,home
2000,52,SDP,Spencer,Halama,Hoffman,home
2000,53,SDP,Abbott,Meadows,,home
2000,54,COL,Sele,Yoshii,,home
2000,55,COL,Tomko,Bohanon,Sasaki,home
2000,56,COL,Arrojo,Moyer,,home
2000,57,SFG,Rueter,Halama,,away
2000,58,SFG,Abbott,Estes,,away
2000,59,SFG,Sele,Hernández,,away
2000,60,KCR,Moyer,Batista,Sasaki,away
2000,61,KCR,Meche,Laxton,,away
2000,62,KCR,Bottalico,Sasaki,,away
2000,63,MIN,Ramsay,Redman,,away
2000,64,MIN,Radke,Sele,,away
2000,65,MIN,Moyer,Milton,,away
2000,66,MIN,Meche,Mays,,away
2000,67,TBD,Lopez,Halama,,home
2000,68,TBD,Abbott,Trachsel,Sasaki,home
2000,69,TBD,Sele,Yan,Sasaki,home
2000,70,BAL,Moyer,Johnson,,home
2000,71,BAL,Meche,Erickson,,home
2000,72,BAL,Halama,Rapp,Sasaki,home
2000,73,BAL,Rhodes,Timlin,Sasaki,home
2000,74,ANA,Sele,Belcher,Sasaki,home
2000,75,ANA,Hill,Moyer,Percival,home
2000,76,ANA,Paniagua,Bottenfield,,home
2000,77,TEX,Rogers,Halama,,away
2000,78,TEX,Abbott,Clark,Sasaki,away
2000,79,TEX,Sele,Perisho,,away
2000,80,ANA,Moyer,Hill,Sasaki,away
2000,81,ANA,Petkovsek,Mesa,Percival,away
2000,82,ANA,Halama,Cooper,Sasaki,away
2000,83,ANA,Washburn,Abbott,,away
2000,84,LAD,Herges,Rhodes,Fetters,home
2000,85,LAD,Sele,Gagne,,home
2000,86,LAD,Moyer,Park,Sasaki,home
2000,87,SDP,Hoffman,Tomko,,away
2000,88,SDP,Moyer,Meadows,Sasaki,away
2000,89,SDP,Williams,Sele,Hoffman,away
2000,90,ARI,Mesa,Springer,Sasaki,away
2000,91,ARI,Guzman,Halama,,away
2000,92,ARI,Rhodes,Padilla,Sasaki,away
2000,93,OAK,Moyer,Appier,Sasaki,away
2000,94,OAK,Heredia,Sele,Isringhausen,away
2000,95,TEX,Abbott,Perisho,,home
2000,96,TEX,Halama,Glynn,,home
2000,97,TEX,Helling,Rhodes,Wetteland,home
2000,98,OAK,Moyer,Appier,Sasaki,home
2000,99,OAK,Heredia,Sele,Isringhausen,home
2000,100,OAK,Hudson,Abbott,,home
