gm_number,wins,losses,division_rank,gb,c_li,streak,games_back,win_per,win_streak,losing_streak,team,season
1,1,0,1,Tied,.99,+,0,1,1,0,NYY,2000
2,2,0,1,Tied,1.01,++,0,1,2,0,NYY,2000
3,2,1,1,Tied,1.08,-,0,0.6666666666666666,0,1,NYY,2000
4,2,2,2,1.0,1.07,--,-1,0.5,0,2,NYY,2000
5,3,2,2,1.0,1.04,+,-1,0.6,1,0,NYY,2000
6,3,3,2,2.0,1.09,-,-2,0.5,0,1,NYY,2000
7,4,3,2,0.5,1.07,+,-0.5,0.5714285714285714,1,0,NYY,2000
8,5,3,1,up 0.5,1.06,++,0.5,0.625,2,0,NYY,2000
9,6,3,1,up 1.5,1.15,+++,1.5,0.6666666666666666,3,0,NYY,2000
10,7,3,1,up 1.5,1.19,++++,1.5,0.7,4,0,NYY,2000
11,8,3,1,up 1.5,1.19,+++++,1.5,0.7272727272727273,5,0,NYY,2000
12,9,3,1,up 2.0,1.21,++++++,2,0.75,6,0,NYY,2000
13,10,3,1,up 2.5,1.22,+++++++,2.5,0.7692307692307693,7,0,NYY,2000
14,11,3,1,up 2.5,1.24,++++++++,2.5,0.7857142857142857,8,0,NYY,2000
15,11,4,1,up 1.0,1.34,-,1,0.7333333333333333,0,1,NYY,2000
16,11,5,1,Tied,1.38,--,0,0.6875,0,2,NYY,2000
17,12,5,1,up 1.0,1.38,+,1,0.7058823529411765,1,0,NYY,2000
18,12,6,1,up 1.0,1.26,-,1,0.6666666666666666,0,1,NYY,2000
19,12,7,1,Tied,1.27,--,0,0.631578947368421,0,2,NYY,2000
20,13,7,1,up 1.0,1.23,+,1,0.65,1,0,NYY,2000
21,14,7,1,up 1.5,1.39,++,1.5,0.6666666666666666,2,0,NYY,2000
22,14,8,1,up 0.5,1.38,-,0.5,0.6363636363636364,0,1,NYY,2000
23,15,8,1,up 1.5,1.38,+,1.5,0.6521739130434783,1,0,NYY,2000
24,16,8,1,up 2.0,1.30,++,2,0.6666666666666666,2,0,NYY,2000
25,17,8,1,up 2.0,1.37,+++,2,0.68,3,0,NYY,2000
26,18,8,1,up 3.0,1.37,++++,3,0.6923076923076923,4,0,NYY,2000
27,19,8,1,up 3.0,1.46,+++++,3,0.7037037037037037,5,0,NYY,2000
28,20,8,1,up 4.0,1.44,++++++,4,0.7142857142857143,6,0,NYY,2000
29,20,9,1,up 3.0,1.41,-,3,0.6896551724137931,0,1,NYY,2000
30,21,9,1,up 3.0,1.33,+,3,0.7,1,0,NYY,2000
31,22,9,1,up 4.0,1.29,++,4,0.7096774193548387,2,0,NYY,2000
32,22,10,1,up 2.5,1.31,-,2.5,0.6875,0,1,NYY,2000
33,22,11,1,up 1.5,1.26,--,1.5,0.6666666666666666,0,2,NYY,2000
34,22,12,1,up 0.5,1.29,---,0.5,0.6470588235294118,0,3,NYY,2000
35,22,13,2,0.5,1.27,----,-0.5,0.6285714285714286,0,4,NYY,2000
36,22,14,2,1.0,1.38,-----,-1,0.6111111111111112,0,5,NYY,2000
37,23,14,2,1.0,1.40,+,-1,0.6216216216216216,1,0,NYY,2000
38,24,14,2,1.0,1.37,++,-1,0.631578947368421,2,0,NYY,2000
39,24,15,2,1.0,1.37,-,-1,0.6153846153846154,0,1,NYY,2000
40,24,16,2,1.0,1.41,--,-1,0.6,0,2,NYY,2000
41,24,17,2,1.0,1.41,---,-1,0.5853658536585366,0,3,NYY,2000
42,25,17,2,1.0,1.40,+,-1,0.5952380952380952,1,0,NYY,2000
43,26,17,1,Tied,1.44,++,0,0.6046511627906976,2,0,NYY,2000
44,26,18,2,1.0,1.65,-,-1,0.5909090909090909,0,1,NYY,2000
45,27,18,1,Tied,1.65,+,0,0.6,1,0,NYY,2000
