full_team_name,league_name,division,team_abb,primary_color,secondary_color,logo
Arizona Diamondbacks,NL,NL West,ARI,#A71930,#E3D4AD,https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg
Atlanta Braves,NL,NL East,ATL,#CE1141,#13274F,https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg
Baltimore Orioles,AL,AL East,BAL,#DF4601,#000000,https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg
Boston Red Sox,AL,AL East,BOS,#BD3039,#0C2340,https://www.mlbstatic.com/team-logos/team-cap-on-light/111.svg
Chicago Cubs,NL,NL Central,CHC,#0E3386,#CC3433,https://www.mlbstatic.com/team-logos/team-cap-on-light/112.svg
Chicago White Sox,AL,AL Central,CHW,#27251F,#C4CED4,https://www.mlbstatic.com/team-logos/team-cap-on-light/145.svg
Cincinnati Reds,NL,NL Central,CIN,#C6011F,#000000,https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg
Cleveland Indians,AL,AL Central,CLE,#0C2340,#E31937,https://www.mlbstatic.com/team-logos/team-cap-on-light/114.svg
Colorado Rockies,NL,NL West,COL,#33006F,#C4CED4,https://www.mlbstatic.com/team-logos/team-cap-on-light/115.svg
Detroit Tigers,AL,AL Central,DET,#0C2340,#FA4616,https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg
Houston Astros,AL,AL West,HOU,#002D62,#EB6E1F,https://www.mlbstatic.com/team-logos/team-cap-on-light/117.svg
Kansas City Royals,AL,AL Central,KCR,#004687,#BD9B60,https://www.mlbstatic.com/team-logos/team-cap-on-light/118.svg
Los Angeles Angels,AL,AL West,LAA,#003263,#BA0021,https://www.mlbstatic.com/team-logos/team-cap-on-light/108.svg
Los Angeles Dodgers,NL,NL West,LAD,#005A9C,#EF3E42,https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg
Miami Marlins,NL,NL East,MIA,#00A3E0,#EF3340,https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg
Milwaukee Brewers,NL,NL Central,MIL,#ffc52f,#12284b,https://www.mlbstatic.com/team-logos/team-cap-on-light/158.svg
Minnesota Twins,AL,AL Central,MIN,#002B5C,#D31145,https://www.mlbstatic.com/team-logos/team-cap-on-light/142.svg
New York Mets,NL,NL East,NYM,#002D72,#FF5910,https://www.mlbstatic.com/team-logos/team-cap-on-light/121.svg
New York Yankees,AL,AL East,NYY,#003087,#E4002C,https://www.mlbstatic.com/team-logos/team-cap-on-light/147.svg
Oakland Athletics,AL,AL West,OAK,#003831,#EFB21E,https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg
Philadelphia Phillies,NL,NL East,PHI,#E81828,#002d72,https://www.mlbstatic.com/team-logos/team-cap-on-light/143.svg
Pittsburgh Pirates,NL,NL Central,PIT,#27251F,#FDB827,https://www.mlbstatic.com/team-logos/team-cap-on-light/134.svg
San Diego Padres,NL,NL West,SDP,#2F241D,#FFC425,https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg
San Francisco Giants,NL,NL West,SFG,#FD5A1E,#27251F,https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg
Seattle Mariners,AL,AL West,SEA,#0C2C56,#005C5C,https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg
St. Louis Cardinals,NL,NL Central,STL,#C41E3A,#0C2340,https://www.mlbstatic.com/team-logos/team-cap-on-light/138.svg
Tampa Bay Rays,AL,AL East,TBR,#092C5C,#8FBCE6,https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg
Texas Rangers,AL,AL West,TEX,#003278,#C0111F,https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg
Toronto Blue Jays,AL,AL East,TOR,#134A8E,#1D2D5C,https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg
Washington Nationals,NL,NL East,WSN,#AB0003,#14225A,https://www.mlbstatic.com/team-logos/team-cap-on-light/120.svg
